date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:00	1312/1312	---M--	404	error ('Not%20Found')	text/html	etag:%22520-5ad9d634dee5e%22	https://www.gaussfleet.com/robots.txt		(from )
10:08:00	25918/25918	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2012:44:53%20GMT	https://www.gaussfleet.com/	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/index.html	(from )
10:08:00	2557/2557	---M--	200	added ('OK')	image/png	etag:%229fd-5ad9d5dfd84bf%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-57x57.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-57x57.png	(from https://www.gaussfleet.com/)
10:08:01	2678/2678	---M--	200	added ('OK')	image/png	etag:%22a76-5ad9d5f08bee7%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-60x60.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-60x60.png	(from https://www.gaussfleet.com/)
10:08:01	3095/3095	---M--	200	added ('OK')	image/png	etag:%22c17-5ad9d638da2f6%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-72x72.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-72x72.png	(from https://www.gaussfleet.com/)
10:08:01	3214/3214	---M--	200	added ('OK')	image/png	etag:%22c8e-5ad9d5cd24748%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-76x76.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-76x76.png	(from https://www.gaussfleet.com/)
10:08:01	4652/4652	---M--	200	added ('OK')	image/png	etag:%22122c-5ad9d635c7906%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-114x114.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-114x114.png	(from https://www.gaussfleet.com/)
10:08:01	4907/4907	---M--	200	added ('OK')	image/png	etag:%22132b-5ad9d5c9194c8%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-120x120.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-120x120.png	(from https://www.gaussfleet.com/)
10:08:02	5894/5894	---M--	200	added ('OK')	image/png	etag:%221706-5ad9d5bbbf930%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-144x144.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-144x144.png	(from https://www.gaussfleet.com/)
10:08:02	6135/6135	---M--	200	added ('OK')	image/png	etag:%2217f7-5ad9d63b2ab6e%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-152x152.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-152x152.png	(from https://www.gaussfleet.com/)
10:08:02	7386/7386	---M--	200	added ('OK')	image/png	etag:%221cda-5ad9d5d67cc9f%22	https://www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-180x180.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/apple-icon-180x180.png	(from https://www.gaussfleet.com/)
10:08:02	6406/6406	---M--	200	added ('OK')	image/png	etag:%221906-5ad9d62b9a186%22	https://www.gaussfleet.com/gauss/assets/favicon/default/android-icon-192x192.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/android-icon-192x192.png	(from https://www.gaussfleet.com/)
10:08:03	1764/1764	---M--	200	added ('OK')	image/png	etag:%226e4-5ad9d5e33793f%22	https://www.gaussfleet.com/gauss/assets/favicon/default/favicon-32x32.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/favicon-32x32.png	(from https://www.gaussfleet.com/)
10:08:03	3996/3996	---M--	200	added ('OK')	image/png	etag:%22f9c-5ad9d5fbb598f%22	https://www.gaussfleet.com/gauss/assets/favicon/default/favicon-96x96.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/favicon-96x96.png	(from https://www.gaussfleet.com/)
10:08:03	1239/1239	---M--	200	added ('OK')	image/png	etag:%224d7-5ad9d5ca6ab38%22	https://www.gaussfleet.com/gauss/assets/favicon/default/favicon-16x16.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/default/favicon-16x16.png	(from https://www.gaussfleet.com/)
10:08:03	1312/1312	---M--	404	error ('Not%20Found')	text/html	etag:%22520-5ad9d634dee5e%22	https://www.gaussfleet.com/gauss/assets/favicon/ms-icon-144x144.png	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/gauss/assets/favicon/ms-icon-144x144.png	(from https://www.gaussfleet.com/)
10:08:04	140936/140936	---M--	200	added ('OK')	text/css	etag:%2222688-5ad9d5e8f4157%22	https://www.gaussfleet.com/website/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://www.gaussfleet.com/)
10:08:04	53741/53741	---MCZ	200	added ('OK')	text/css	etag:W/%22ae4d052bb6a9986bcd0634b812200894%22	https://use.fontawesome.com/releases/v5.6.0/css/all.css	C:/Users/Desenvolvimento/Desktop/site/glauss/use.fontawesome.com/releases/v5.6.0/css/all.css	(from https://www.gaussfleet.com/)
10:08:04	47612/47612	---M--	200	added ('OK')	text/css	etag:%22b9fc-5ad9d647839a6%22	https://www.gaussfleet.com/website/assets/plugins/animate/animate.min.css	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/plugins/animate/animate.min.css	(from https://www.gaussfleet.com/)
10:08:05	112578/112578	---M--	200	added ('OK')	text/css	etag:%221b7c2-5ad9d645db0ae%22	https://www.gaussfleet.com/website/assets/css/style.min.css?v=1.0	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/css/style.minc619.css	(from https://www.gaussfleet.com/)
10:08:05	1119/1119	---M--	200	added ('OK')	text/css	etag:%2245f-5ad9d5da0e9b7%22	https://www.gaussfleet.com/website/assets/css/custom.css	C:/Users/Desenvolvimento/Desktop/site/glauss/www.gaussfleet.com/website/assets/css/custom.css	(from https://www.gaussfleet.com/)
